epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1712.67,0.48146,0.31675,0.89436,0.88485,0.86168,0.87895,0.56021,1.41159,0.78371,1.39137,0.00076482,0.00076482,0.00076482
43,1753.51,0.47528,0.30856,0.88928,0.89185,0.86661,0.8875,0.57148,1.39377,0.76022,1.47246,0.000742815,0.000742815,0.000742815
44,1794.23,0.45654,0.29846,0.88683,0.90567,0.86793,0.89431,0.56068,1.44018,0.72333,1.3707,0.000720811,0.000720811,0.000720811
45,1835,0.45119,0.29215,0.88181,0.89371,0.85038,0.88733,0.58297,1.40189,0.76201,1.37435,0.000698806,0.000698806,0.000698806
46,1875.92,0.44589,0.29159,0.8799,0.8978,0.8648,0.89039,0.57084,1.43203,0.73947,1.37761,0.000676802,0.000676802,0.000676802
47,1916.79,0.4458,0.29008,0.88125,0.88773,0.86558,0.88435,0.56928,1.39997,0.77237,1.38983,0.000654798,0.000654798,0.000654798
48,1957.54,0.43222,0.28471,0.87892,0.89045,0.84535,0.87985,0.57361,1.39769,0.83208,1.3953,0.000632793,0.000632793,0.000632793
49,1999.17,0.44232,0.28368,0.87852,0.88528,0.88362,0.88465,0.56978,1.39618,0.73971,1.39968,0.000610789,0.000610789,0.000610789
50,2041.92,0.4305,0.27695,0.87388,0.90387,0.84901,0.88839,0.57795,1.38837,0.77819,1.35317,0.000588784,0.000588784,0.000588784
51,2078.9,0.43318,0.27877,0.8721,0.90506,0.83854,0.89141,0.58508,1.39306,0.79172,1.33268,0.00056678,0.00056678,0.00056678
52,2115.11,0.42097,0.27391,0.87225,0.89865,0.8724,0.89783,0.5792,1.38058,0.69915,1.37297,0.000544776,0.000544776,0.000544776
53,2159.08,0.41073,0.26595,0.86882,0.89554,0.86069,0.9001,0.59668,1.36438,0.79702,1.43465,0.000522771,0.000522771,0.000522771
54,2201.92,0.40866,0.26713,0.86977,0.90059,0.87499,0.90151,0.5926,1.361,0.73134,1.34789,0.000500767,0.000500767,0.000500767
55,2244.38,0.39111,0.2599,0.86597,0.90383,0.85871,0.89778,0.59169,1.39696,0.77398,1.38754,0.000478762,0.000478762,0.000478762
56,2288.21,0.39516,0.26146,0.86643,0.90638,0.86852,0.89998,0.5913,1.38009,0.71975,1.34645,0.000456758,0.000456758,0.000456758
57,2332.46,0.40469,0.26213,0.86894,0.88545,0.88887,0.89972,0.59642,1.37895,0.7257,1.38495,0.000434754,0.000434754,0.000434754
58,2375.41,0.39252,0.25493,0.86396,0.88218,0.88005,0.89786,0.61079,1.35815,0.77543,1.35178,0.000412749,0.000412749,0.000412749
59,2418.17,0.39224,0.25354,0.86531,0.88937,0.87764,0.89923,0.60505,1.35944,0.7377,1.34079,0.000390745,0.000390745,0.000390745
60,2460.89,0.37501,0.24655,0.85888,0.88959,0.87289,0.89832,0.61359,1.36474,0.74058,1.35595,0.00036874,0.00036874,0.00036874
61,2504.21,0.38329,0.25049,0.86392,0.88508,0.88924,0.89883,0.60997,1.36402,0.74615,1.37562,0.000346736,0.000346736,0.000346736
62,2546.43,0.3808,0.25143,0.86355,0.89951,0.86056,0.89077,0.60567,1.34767,0.78795,1.34002,0.000324732,0.000324732,0.000324732
63,2589.15,0.36203,0.24207,0.85758,0.88698,0.87989,0.9015,0.61281,1.35235,0.7223,1.34141,0.000302727,0.000302727,0.000302727
