epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1157.44,0.60394,0.43821,0.90939,0.81413,0.6547,0.75239,0.42564,1.69454,1.38799,1.78968,0.00132868,0.00132868,0.00132868
43,1167.71,0.57841,0.41935,0.89978,0.83235,0.80563,0.80866,0.45831,1.6772,1.08617,1.83677,0.00132043,0.00132043,0.00132043
44,1178.17,0.56256,0.4167,0.89812,0.83389,0.77655,0.76878,0.42549,1.7247,1.17915,1.92953,0.00131218,0.00131218,0.00131218
45,1190.26,0.54363,0.4102,0.89523,0.84312,0.75152,0.7758,0.44283,1.67861,1.08368,1.84226,0.00130393,0.00130393,0.00130393
46,1202.33,0.54102,0.40362,0.89144,0.79625,0.78612,0.76911,0.43218,1.72285,1.25575,1.89058,0.00129568,0.00129568,0.00129568
47,1212.68,0.5419,0.40502,0.88068,0.81286,0.76125,0.74552,0.43305,1.76209,1.36374,1.9255,0.00128742,0.00128742,0.00128742
48,1224.52,0.55264,0.40996,0.89213,0.83491,0.79742,0.77315,0.45241,1.66354,1.14968,1.84065,0.00127917,0.00127917,0.00127917
49,1235.38,0.56799,0.41788,0.89603,0.83652,0.78094,0.75003,0.42427,1.77682,1.16666,1.93549,0.00127092,0.00127092,0.00127092
50,1247.23,0.54407,0.41383,0.89036,0.81286,0.79796,0.78102,0.45848,1.67166,1.23667,1.85043,0.00126267,0.00126267,0.00126267
51,1259.31,0.53305,0.3978,0.88801,0.81583,0.80411,0.77947,0.44946,1.7106,1.08337,1.88422,0.00125442,0.00125442,0.00125442
52,1271.21,0.51887,0.38454,0.87898,0.83361,0.76126,0.76625,0.45345,1.67615,1.3534,1.85611,0.00124617,0.00124617,0.00124617
53,1282.52,0.51447,0.38574,0.87513,0.84618,0.79841,0.79628,0.46807,1.69598,1.16295,1.86469,0.00123791,0.00123791,0.00123791
54,1294.22,0.51846,0.38419,0.88422,0.84676,0.79654,0.78792,0.45672,1.68767,1.12351,1.86044,0.00122966,0.00122966,0.00122966
55,1305.61,0.50432,0.38134,0.87899,0.81699,0.7707,0.78691,0.45749,1.70574,1.19047,1.88868,0.00122141,0.00122141,0.00122141
56,1318.5,0.51449,0.37508,0.88241,0.82762,0.78539,0.80222,0.45636,1.68581,1.22486,1.87066,0.00121316,0.00121316,0.00121316
